pertanyaan;label;konteks
Apa itu fotosintesis?;valid_learning;belajar
Bagaimana cara kerja sistem pencernaan manusia?;valid_learning;belajar
Kenapa langit berwarna biru?;valid_learning;belajar
Apa perbedaan antara sel hewan dan sel tumbuhan?;valid_learning;belajar
Bagaimana proses terjadinya hujan?;valid_learning;belajar
Apa yang dimaksud dengan revolusi industri?;valid_learning;belajar
Jelaskan hukum Newton pertama!;valid_learning;belajar
Apa fungsi mitokondria dalam sel?;valid_learning;belajar
Bagaimana cara menghitung luas lingkaran?;valid_learning;belajar
Apa itu ekosistem dan contohnya?;valid_learning;belajar
Siapa penemu listrik?;valid_learning;belajar
Apa penyebab terjadinya gempa bumi?;valid_learning;belajar
Bagaimana cara membuat larutan garam?;valid_learning;belajar
Apa perbedaan antara simbiosis mutualisme dan parasitisme?;valid_learning;belajar
Jelaskan proses metamorfosis kupu-kupu!;valid_learning;belajar
Apa yang dimaksud dengan inflasi dalam ekonomi?;valid_learning;belajar
Bagaimana cara kerja panel surya?;valid_learning;belajar
Apa itu DNA dan fungsinya?;valid_learning;belajar
Jelaskan perbedaan antara gaya gesek statis dan kinetis!;valid_learning;belajar
Apa yang dimaksud dengan demokrasi?;valid_learning;belajar
Kenapa air laut terasa asin?;valid_learning;belajar
Bagaimana cara menentukan KPK dan FPB?;valid_learning;belajar
Apa perbedaan antara planet dan bintang?;valid_learning;belajar
Jelaskan siklus air secara singkat!;valid_learning;belajar
Apa itu jaringan komputer?;valid_learning;belajar
Bagaimana proses pembentukan batubara?;valid_learning;belajar
Apa yang dimaksud dengan rantai makanan?;valid_learning;belajar
Jelaskan perbedaan antara asam dan basa!;valid_learning;belajar
Apa itu pemanasan global dan penyebabnya?;valid_learning;belajar
Bagaimana cara kerja jantung manusia?;valid_learning;belajar
Apa perbedaan antara vektor dan skalar?;valid_learning;belajar
Jelaskan proses respirasi pada manusia!;valid_learning;belajar
Apa yang dimaksud dengan hak asasi manusia?;valid_learning;belajar
Bagaimana cara menghitung persentase?;valid_learning;belajar
Apa itu revolusi bumi dan dampaknya?;valid_learning;belajar
Jelaskan perbedaan antara konduksi dan konveksi!;valid_learning;belajar
Apa yang dimaksud dengan sistem tata surya?;valid_learning;belajar
Bagaimana proses terjadinya tsunami?;valid_learning;belajar
Apa itu klorofil dan fungsinya?;valid_learning;belajar
Jelaskan perbedaan antara prokariota dan eukariota!;valid_learning;belajar
Apa yang dimaksud dengan fluida?;valid_learning;belajar
Bagaimana cara kerja teleskop?;valid_learning;belajar
Apa perbedaan antara energi kinetik dan potensial?;valid_learning;belajar
Jelaskan proses pembentukan tanah!;valid_learning;belajar
Apa itu sistem imun dan cara kerjanya?;valid_learning;belajar
Bagaimana cara menghitung kecepatan rata-rata?;valid_learning;belajar
Apa yang dimaksud dengan ekuilibrium kimia?;valid_learning;belajar
Jelaskan perbedaan antara suhu dan kalor!;valid_learning;belajar
Apa itu algoritma dalam pemrograman?;valid_learning;belajar
Bagaimana cara kerja vaksin?;valid_learning;belajar
Apa itu majas metafora dan contohnya?;valid_learning;belajar
Bagaimana cara menentukan ide pokok paragraf?;valid_learning;belajar
Apa perbedaan cerpen dan novel?;valid_learning;belajar
Jelaskan pengertian teks prosedur!;valid_learning;belajar
Apa itu kalimat efektif?;valid_learning;belajar
Bagaimana struktur teks laporan hasil observasi?;valid_learning;belajar
Apa yang dimaksud dengan konjungsi?;valid_learning;belajar
Jelaskan perbedaan pantun dan puisi!;valid_learning;belajar
Apa itu teks argumentasi?;valid_learning;belajar
Bagaimana cara menulis surat resmi yang benar?;valid_learning;belajar
Apa fungsi imbuhan me- dalam kata kerja?;valid_learning;belajar
Jelaskan pengertian paragraf deduktif!;valid_learning;belajar
Apa itu antonim dan berikan contohnya?;valid_learning;belajar
Bagaimana cara menemukan informasi penting dalam teks?;valid_learning;belajar
Apa yang dimaksud dengan kalimat majemuk?;valid_learning;belajar
Jelaskan perbedaan teks narasi dan deskripsi!;valid_learning;belajar
Apa itu sinonim dan contohnya?;valid_learning;belajar
Bagaimana cara membuat ringkasan teks yang baik?;valid_learning;belajar
Apa yang dimaksud dengan tema dalam sebuah cerita?;valid_learning;belajar
Jelaskan pengertian amanat dalam karya sastra!;valid_learning;belajar
Apa itu bilangan prima?;valid_learning;belajar
Bagaimana cara menghitung volume kubus?;valid_learning;belajar
Apa perbedaan antara mean median dan modus?;valid_learning;belajar
Jelaskan teorema Pythagoras!;valid_learning;belajar
Apa itu persamaan linear satu variabel?;valid_learning;belajar
Bagaimana cara menghitung luas trapesium?;valid_learning;belajar
Apa yang dimaksud dengan pecahan desimal?;valid_learning;belajar
Jelaskan cara menentukan akar kuadrat!;valid_learning;belajar
Apa itu sudut siku-siku?;valid_learning;belajar
Bagaimana cara menghitung keliling segitiga?;valid_learning;belajar
Apa yang dimaksud dengan bilangan bulat negatif?;valid_learning;belajar
Jelaskan perbedaan antara rumus luas dan keliling lingkaran!;valid_learning;belajar
Apa itu deret aritmatika?;valid_learning;belajar
Bagaimana cara menyelesaikan pertidaksamaan linear?;valid_learning;belajar
Apa yang dimaksud dengan fungsi dalam matematika?;valid_learning;belajar
Jelaskan cara menghitung peluang suatu kejadian!;valid_learning;belajar
Apa itu koordinat kartesius?;valid_learning;belajar
Bagaimana cara menghitung perbandingan senilai?;valid_learning;belajar
Apa yang dimaksud dengan skala pada peta?;valid_learning;belajar
Jelaskan sifat-sifat bangun datar jajar genjang!;valid_learning;belajar
Apa itu pencak silat dan asalnya dari mana?;valid_learning;belajar
Bagaimana proses proklamasi kemerdekaan Indonesia?;valid_learning;belajar
Apa yang dimaksud dengan sumpah pemuda?;valid_learning;belajar
Jelaskan peran Ki Hajar Dewantara dalam pendidikan!;valid_learning;belajar
Apa itu tanam paksa di era kolonial Belanda?;valid_learning;belajar
Bagaimana terbentuknya ASEAN?;valid_learning;belajar
Apa yang dimaksud dengan otonomi daerah?;valid_learning;belajar
Jelaskan fungsi Pancasila bagi bangsa Indonesia!;valid_learning;belajar
Apa itu letak astronomis Indonesia?;valid_learning;belajar
Bagaimana cara kerja sistem pemerintahan presidensial?;valid_learning;belajar
Apa itu sel prokariotik dan eukariotik?;valid_learning;belajar
Jelaskan proses metamorfosis pada kupu-kupu!;valid_learning;belajar
Apa yang dimaksud dengan fotosintesis?;valid_learning;belajar
Jelaskan perbedaan antara vektor dan skalar!;valid_learning;belajar
Apa fungsi dari hemoglobin dalam darah?;valid_learning;belajar
